Freq(Mhz);Pol;X1;Y1;X2;Y2
23000;V;20.541770382;14.87416934;19.563483777;18.34643751
38000;V;19.750847018;17.78119661;19.563483777;18.34643751
23000;H;20.4996413359999;18.37253078;19.563483777;18.34643751
38000;V;19.676240045;18.5168026000001;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;19.286351276;17.4711267500001
38000;V;19.563483777;18.34643751;20.308280825;19.96862083
38000;V;19.127426855;18.11012801;19.563483777;18.34643751
38000;V;19.740195767;18.98950612;19.563483777;18.34643751
38000;V;19.327512259;17.91515431;19.563483777;18.34643751
38000;V;19.065227409;19.03739805;19.563483777;18.34643751
23000;V;18.822904886;20.2174288;19.563483777;18.34643751
23000;H;19.563483777;18.34643751;21.103600433;20.60880192
23000;H;19.563483777;18.34643751;20.354390822;16.99978999
23000;H;20.041481852;19.71400492;19.563483777;18.34643751
23000;V;18.655434195;19.9981661799999;19.563483777;18.34643751
38000;V;19.967892612;19.05707582;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;19.143943585;20.0999698
38000;V;19.608604397;18.73316467;19.563483777;18.34643751
10500;H;19.563483777;18.34643751;27.058735693;16.91449705
38000;V;19.563483777;18.34643751;18.623090335;18.60362896
38000;H;19.1850307229999;18.66042004;19.563483777;18.34643751
23000;V;18.565950349;18.51668876;19.563483777;18.34643751
38000;H;19.563483777;18.34643751;20.235489831;19.19744747
38000;V;19.563483777;18.34643751;18.9102739659999;18.08604362
38000;H;20.738642776;17.43228189;19.563483777;18.34643751
23000;V;19.563483777;18.34643751;20.737805416;19.96141353
23000;V;19.563483777;18.34643751;20.373195434;16.88806527
38000;V;19.542733287;19.97714321;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;19.733652424;19.84892374
23000;V;19.888142241;17.91825791;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;21.319431763;20.48813637
38000;V;19.563483777;18.34643751;20.5573911989999;20.19106087
23000;V;23.4184595539999;15.6322175100001;19.563483777;18.34643751
23000;V;19.638407582;17.73739487;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;19.536825975;17.88950233
38000;V;18.974398569;17.79312644;19.563483777;18.34643751
23000;H;19.563483777;18.34643751;22.701481381;17.13405178
38000;H;19.937988064;18.12034678;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;17.979546432;19.00846146
23000;H;20.606357845;17.02134321;19.563483777;18.34643751
23000;H;19.563483777;18.34643751;16.976549202;19.5197204699999
23000;V;19.563483777;18.34643751;16.4947550520001;19.85442067
23000;V;19.563483777;18.34643751;16.378608349;21.4800517599999
23000;H;19.563483777;18.34643751;17.977379417;19.15595858
38000;V;19.563483777;18.34643751;21.269875246;18.05419252
38000;H;19.563483777;18.34643751;19.635919231;16.6961730599999
38000;V;19.563483777;18.34643751;20.344016166;19.99645676
38000;V;19.563483777;18.34643751;19.5596748949999;20.47845342
38000;V;19.246760758;19.04361651;19.563483777;18.34643751
38000;V;19.563483777;18.34643751;19.950721456;18.9350083
23000;V;19.554405832;18.48489831;19.563483777;18.34643751
23000;V;19.529621915;19.09329155;19.563483777;18.34643751
23000;V;19.563483777;18.34643751;22.2557339709999;17.55646183
23000;V;19.563483777;18.34643751;17.315979605;19.2733102600001
38000;H;19.794710769;20.43772286;20.288381661;20.25482106
38000;V;19.794710769;20.43772286;20.166415284;20.15151382
38000;H;19.794710769;20.43772286;19.765057802;20.14897198
