date;rx_power
2014-02-13 12:58:24;-50.7
2014-02-13 12:58:40;-50.4
2014-02-13 12:58:55;-50.7
2014-02-13 12:59:11;-50.7
2014-02-13 12:59:27;-50.4
2014-02-13 12:59:42;-50.7
2014-02-13 12:59:58;-50.4
2014-02-13 13:00:13;-50.7
2014-02-13 13:00:28;-50.7
2014-02-13 13:00:44;-50.4
2014-02-13 13:01:09;-50.7
2014-02-13 13:01:25;-50.4
2014-02-13 13:01:41;-50.7
2014-02-13 13:01:57;-50.4
2014-02-13 13:02:13;-50.7
2014-02-13 13:02:29;-50.7
2014-02-13 13:02:45;-50.7
2014-02-13 13:03:00;-50.4
2014-02-13 13:03:15;-50.7
2014-02-13 13:03:31;-50.4
2014-02-13 13:03:46;-50.4
2014-02-13 13:04:01;-50.7
2014-02-13 13:06:10;-50.4
2014-02-13 13:06:25;-50.7
2014-02-13 13:06:41;-50.7
2014-02-13 13:06:56;-50.7
2014-02-13 13:07:11;-50.7
2014-02-13 13:07:27;-50.4
2014-02-13 13:07:42;-50.4
2014-02-13 13:07:57;-50.4
2014-02-13 13:09:16;-50.4
2014-02-13 13:09:31;-50.4
2014-02-13 13:09:31;-50.4
2014-02-13 13:09:46;-50.4
2014-02-13 13:09:46;-50.4
2014-02-13 13:10:01;-50.7
2014-02-13 13:10:01;-50.7
2014-02-13 13:10:17;-50.4
2014-02-13 13:10:17;-50.4
2014-02-13 13:10:32;-50.7
2014-02-13 13:10:47;-50.4
2014-02-13 13:11:03;-50.7
2014-02-13 13:11:18;-50.4
2014-02-13 13:11:33;-50.4
2014-02-13 13:11:49;-50.7
2014-02-13 13:12:04;-50.7
2014-02-13 13:12:19;-50.7
2014-02-13 13:12:35;-50.4
2014-02-13 13:12:51;-50.7
2014-02-13 13:13:06;-50.7
2014-02-13 13:13:22;-50.4
2014-02-13 13:13:38;-50.7
2014-02-13 13:13:54;-50.7
2014-02-13 13:15:11;-50.7
2014-02-13 13:15:28;-50.4
2014-02-13 13:15:44;-50.4
2014-02-13 13:16:00;-50.4
2014-02-13 13:16:15;-50.4
2014-02-13 13:16:31;-50.7
2014-02-13 13:16:46;-50.7
2014-02-13 13:17:01;-50.7
2014-02-13 13:17:17;-50.7
2014-02-13 13:17:32;-50.7
2014-02-13 13:17:47;-50.4
2014-02-13 13:18:04;-50.7
2014-02-13 13:18:21;-50.7
2014-02-13 13:18:37;-50.4
2014-02-13 13:18:53;-50.4
2014-02-13 13:19:18;-50.4
2014-02-13 13:19:33;-50.4
2014-02-13 13:19:49;-50.7
2014-02-13 13:21:06;-50.7
2014-02-13 13:21:23;-50.4
2014-02-13 13:21:39;-50.7
2014-02-13 13:21:55;-50.4
2014-02-13 13:23:12;-50.7
2014-02-13 13:23:27;-50.7
2014-02-13 13:23:42;-50.7
2014-02-13 13:23:58;-50.7
2014-02-13 13:24:13;-50.7
2014-02-13 13:24:28;-50.4
2014-02-13 13:24:44;-50.7
2014-02-13 13:24:59;-50.4
2014-02-13 13:26:17;-50.7
2014-02-13 13:26:33;-50.7
2014-02-13 13:26:49;-50.4
2014-02-13 13:29:11;-50.7
2014-02-13 13:29:28;-50.4
2014-02-13 13:29:44;-50.4
2014-02-13 13:29:59;-50.7
2014-02-13 13:30:14;-50.4
2014-02-13 13:31:16;-50.4
2014-02-13 13:31:31;-50.7
2014-02-13 13:31:47;-50.7
2014-02-13 13:35:20;-50.7
2014-02-13 13:35:36;-50.7
2014-02-13 13:35:51;-50.4
2014-02-13 13:36:07;-50.7
2014-02-13 13:36:22;-50.4
2014-02-13 13:36:38;-50.4
2014-02-13 13:36:53;-50.4
2014-02-13 13:37:08;-50.4
2014-02-13 13:37:24;-50.4
2014-02-13 13:37:39;-50.7
2014-02-13 13:37:55;-50.4
2014-02-13 13:39:12;-50.7
2014-02-13 13:39:27;-50.4
2014-02-13 13:39:43;-50.7
2014-02-13 13:39:58;-50.7
2014-02-13 13:46:16;-50.4
2014-02-13 13:46:32;-50.4
2014-02-13 13:46:47;-50.7
2014-02-13 13:48:04;-50.4
2014-02-13 13:48:04;-50.4
2014-02-13 13:48:20;-50.4
2014-02-13 13:48:20;-50.4
2014-02-13 13:48:37;-50.7
2014-02-13 13:48:37;-50.7
2014-02-13 13:48:54;-50.4
2014-02-13 13:48:54;-50.4
2014-02-13 13:50:12;-50.7
2014-02-13 13:50:28;-50.4
2014-02-13 13:50:43;-50.7
2014-02-13 13:50:58;-50.4
2014-02-13 13:53:04;-50.7
2014-02-13 13:53:20;-50.7
2014-02-13 13:53:36;-50.7
2014-02-13 13:53:52;-50.7
2014-02-13 13:54:08;-50.7
2014-02-13 13:54:23;-50.4
2014-02-13 13:54:39;-50.4
2014-02-13 13:54:54;-50.4
2014-02-13 13:55:10;-50.7
2014-02-13 13:55:10;-50.7
2014-02-13 13:55:26;-50.7
2014-02-13 13:55:26;-50.7
2014-02-13 13:55:41;-50.7
2014-02-13 13:55:41;-50.7
2014-02-13 13:55:57;-50.7
2014-02-13 13:55:57;-50.7
2014-02-13 13:56:13;-50.4
2014-02-13 13:56:28;-50.7
2014-02-13 13:56:44;-50.7
2014-02-13 13:56:59;-50.4
2014-02-13 13:57:14;-50.4
2014-02-13 13:57:30;-50.7
2014-02-13 13:57:46;-50.7
2014-02-13 13:58:01;-51.1
2014-02-13 14:00:05;-50.7
2014-02-13 14:00:21;-50.7
2014-02-13 14:00:37;-50.7
2014-02-13 14:00:52;-50.7
2014-02-13 14:01:08;-50.7
2014-02-13 14:01:23;-50.4
2014-02-13 14:01:38;-50.4
2014-02-13 14:01:54;-50.4
2014-02-13 14:02:09;-50.4
2014-02-13 14:02:24;-50.4
2014-02-13 14:02:40;-50.7
2014-02-13 14:02:55;-50.7
2014-02-13 14:03:11;-50.7
2014-02-13 14:03:26;-50.4
2014-02-13 14:03:42;-50.4
2014-02-13 14:03:57;-50.7
2014-02-13 14:03:57;-50.7
2014-02-13 14:04:13;-50.4
2014-02-13 14:04:13;-50.4
2014-02-13 14:04:28;-50.7
2014-02-13 14:04:28;-50.7
2014-02-13 14:04:43;-50.7
2014-02-13 14:04:43;-50.7
2014-02-13 14:04:59;-50.7
2014-02-13 14:05:14;-50.7
2014-02-13 14:05:29;-50.7
2014-02-13 14:05:45;-50.4
2014-02-13 14:06:01;-50.7
2014-02-13 14:07:03;-50.4
2014-02-13 14:07:28;-50.4
2014-02-13 14:07:44;-50.7
2014-02-13 14:07:59;-50.7
2014-02-13 14:09:17;-50.4
2014-02-13 14:09:33;-50.7
2014-02-13 14:09:33;-50.7
2014-02-13 14:09:48;-50.7
2014-02-13 14:09:48;-50.7
2014-02-13 14:13:09;-50.4
2014-02-13 14:13:09;-50.4
2014-02-13 14:13:24;-50.4
2014-02-13 14:13:40;-50.7
2014-02-13 14:13:56;-50.4
2014-02-13 14:14:11;-50.7
2014-02-13 14:14:28;-50.4
2014-02-13 14:14:44;-50.4
2014-02-13 14:15:01;-50.7
2014-02-13 14:15:17;-50.4
2014-02-13 14:15:32;-50.7
2014-02-13 14:15:48;-50.4
2014-02-13 14:16:18;-50.4
2014-02-13 14:16:34;-50.4
2014-02-13 14:16:49;-50.7
2014-02-13 14:16:49;-50.7
2014-02-13 14:17:05;-50.4
2014-02-13 14:17:05;-50.4
2014-02-13 14:19:08;-50.4
2014-02-13 14:19:08;-50.4
2014-02-13 14:19:23;-50.7
2014-02-13 14:19:23;-50.7
2014-02-13 14:19:39;-50.7
2014-02-13 14:19:39;-50.7
2014-02-13 14:19:55;-50.4
2014-02-13 14:23:16;-50.7
2014-02-13 14:23:32;-50.4
2014-02-13 14:23:47;-50.7
2014-02-13 14:25:05;-50.7
2014-02-13 14:25:21;-50.7
2014-02-13 14:25:36;-50.4
2014-02-13 14:25:52;-50.4
2014-02-13 14:26:08;-50.7
2014-02-13 14:26:24;-50.7
2014-02-13 14:26:39;-50.7
2014-02-13 14:26:54;-50.4
2014-02-13 14:29:15;-50.7
2014-02-13 14:29:30;-50.7
2014-02-13 14:29:45;-50.4
2014-02-13 14:30:01;-50.7
2014-02-13 14:30:16;-50.7
2014-02-13 14:30:31;-50.7
2014-02-13 14:30:47;-50.4
2014-02-13 14:31:02;-50.4
2014-02-13 14:34:08;-50.4
2014-02-13 14:34:23;-50.4
2014-02-13 14:34:39;-50.7
2014-02-13 14:34:55;-50.7
2014-02-13 14:35:10;-50.4
2014-02-13 14:35:25;-50.4
2014-02-13 14:35:41;-50.7
2014-02-13 14:35:56;-50.7
2014-02-13 14:37:16;-50.7
2014-02-13 14:37:31;-50.7
2014-02-13 14:37:46;-50.4
2014-02-13 14:43:15;-50.4
2014-02-13 14:43:31;-50.4
2014-02-13 14:43:46;-50.4
2014-02-13 14:44:02;-50.7
2014-02-13 14:45:04;-50.7
2014-02-13 14:45:20;-50.4
2014-02-13 14:45:35;-50.4
2014-02-13 14:46:00;-50.4
2014-02-13 14:49:07;-50.4
2014-02-13 14:49:22;-50.7
2014-02-13 14:49:37;-50.7
2014-02-13 14:49:53;-50.4
2014-02-13 14:52:17;-50.7
2014-02-13 14:52:32;-50.7
2014-02-13 14:52:48;-50.7
2014-02-13 14:53:03;-50.7
2014-02-13 14:53:18;-50.7
2014-02-13 14:53:33;-50.7
2014-02-13 14:53:49;-50.7
2014-02-13 14:54:04;-50.4
2014-02-13 14:54:19;-50.7
2014-02-13 14:54:35;-50.4
2014-02-13 14:54:50;-50.7
2014-02-13 14:56:06;-50.7
2014-02-13 14:56:22;-50.7
2014-02-13 14:56:37;-50.7
2014-02-13 14:56:53;-50.4
2014-02-13 14:57:09;-50.4
2014-02-13 14:57:24;-50.7
2014-02-13 14:57:39;-50.7
2014-02-13 14:57:54;-50.7
2014-02-13 14:58:10;-50.4
2014-02-13 14:58:25;-50.7
2014-02-13 14:58:41;-50.7
2014-02-13 14:58:56;-50.7
2014-02-13 15:00:14;-50.7
2014-02-13 15:00:29;-50.4
2014-02-13 15:00:44;-50.7
2014-02-13 15:01:00;-50.4
2014-02-13 15:01:15;-50.4
2014-02-13 15:01:30;-50.7
2014-02-13 15:01:46;-50.4
2014-02-13 15:02:01;-50.4
2014-02-13 15:02:17;-50.4
2014-02-13 15:02:33;-50.7
2014-02-13 15:02:49;-50.4
2014-02-13 15:04:06;-50.7
2014-02-13 15:04:22;-50.7
2014-02-13 15:04:37;-50.7
2014-02-13 15:04:52;-50.4
2014-02-13 15:05:08;-50.7
2014-02-13 15:05:23;-50.7
2014-02-13 15:05:39;-50.4
2014-02-13 15:05:54;-50.4
2014-02-13 15:07:13;-50.4
2014-02-13 15:07:28;-50.4
2014-02-13 15:07:43;-50.4
2014-02-13 15:07:59;-50.7
2014-02-13 15:10:17;-50.7
